Year,Material,Tons
1/1/2011,Iridium,-0.000000
1/1/2011,Iron,1930.838179
1/1/2011,Lanthanum (REE),-0.000000
1/1/2011,Lead,-14.319306
1/1/2011,Lithium,0.200254
1/1/2011,Lutetium (REE),-0.000000
1/1/2011,Magnesium,0.448888
1/1/2011,Manganese,-95.282892
1/1/2011,Molybdenum,-251.770061
1/1/2011,Neodymium (REE),0.028671
1/1/2011,Nickel,-5991.507065
1/1/2011,Niobium,-3.481271
1/1/2011,Palladium,-0.000000
1/1/2011,Phosphate rock,-0.000000
1/1/2011,Phosphorus,-0.000000
1/1/2011,Platinum,-0.000000
1/1/2011,Praseodymium (REE),0.012341
1/1/2011,Rhenium,-0.000000
1/1/2011,Rhodium,-0.000000
1/1/2011,Ruthenium,-0.000000
1/1/2011,Samarium (REE),-0.000000
1/1/2011,Scandium (REE),-0.000000
1/1/2011,Selenium,0.002340
1/1/2011,Silicon,93.404121
1/1/2011,Silver,-25.663085
1/1/2011,Steel,-2407387.746318
1/1/2011,Tantalum,-0.046014
1/1/2011,Tellurium,0.000783
1/1/2011,Terbium (REE),0.004104
1/1/2011,Thulium,-0.000000
1/1/2011,Tin,8.060328
1/1/2011,Titanium,-0.000000
1/1/2011,Tungsten,-5.669893
1/1/2011,Vanadium,0.304911
1/1/2011,Yetterbium (REE),-0.000000
1/1/2011,Yttrium (REE),-0.000000
1/1/2011,Zinc,1021.675002
1/1/2011,Zirconium,-2.008762
1/1/2012,Aluminum,-21784.860922
1/1/2012,Antimony,-0.000000
1/1/2012,Arsenic,-0.000000
1/1/2012,Baryte,-0.000000
1/1/2012,Beryllium,-0.000000
1/1/2012,Bismuth,-0.000000
1/1/2012,Borate,-0.000000
1/1/2012,Boron,0.005962
1/1/2012,Cadmium,0.022046
1/1/2012,Cerium (REE),-0.000000
1/1/2012,Chromium,-2619.622629
1/1/2012,Cobalt,-2697.192618
1/1/2012,Copper,-12843.542794
1/1/2012,Dysprosium (REE),-0.822186
1/1/2012,Erbium (REE),-0.000000
1/1/2012,Europium (REE),-0.000000
1/1/2012,Fluorspar,-0.000000
1/1/2012,Gadolinium (REE),-0.000000
1/1/2012,Gallium,0.000255
1/1/2012,Germanium,-0.000000
1/1/2012,Gold,-0.000000
1/1/2012,Graphite,-0.000000
1/1/2012,Hafnium,0.000192
1/1/2012,Helium,-0.000000
1/1/2012,Holmium (REE),-0.000000
1/1/2012,Indium,0.000799
1/1/2012,Iridium,-0.000000
1/1/2012,Iron,-192305.000861
1/1/2012,Lanthanum (REE),-0.000000
1/1/2012,Lead,-60.117317
1/1/2012,Lithium,-19.944645
1/1/2012,Lutetium (REE),-0.000000
1/1/2012,Magnesium,-22.676806
1/1/2012,Manganese,-5610.442398
1/1/2012,Molybdenum,62.197859
